base_pr,other_llm_version,bleu,jaccard,edit_distance,sbert_cosine,bertscore_precision,bertscore_recall,bertscore_f1,title_rouge1,title_rouge2,title_rougeL,body_rouge1,body_rouge2,body_rougeL,tfidf_cosine,baseline_path,llm_path
1_degraded,1_claude 3.7 sonnet_degraded,0.05286122415559871,0.21525885558583105,0.7169412758766371,0.727635,0.8048988580703735,0.8479796648025513,0.825877845287323,0.30769230769230765,0.0,0.30769230769230765,0.4359861591695502,0.08362369337979095,0.25605536332179935,0.6432890202966911,experiment/prs\1\versions\degraded\degraded_pr.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\claude 3.7 sonnet\versions\degraded\degraded_pr.json
1_degraded,1_deepseek deepthink r1_degraded,0.0025048098163591285,0.1,0.7279305354558611,0.7243625,0.848763108253479,0.8242696523666382,0.8363370895385742,0.30769230769230765,0.0,0.30769230769230765,0.28431372549019607,0.039603960396039604,0.1568627450980392,0.32934423240392496,experiment/prs\1\versions\degraded\degraded_pr.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\deepseek deepthink r1\versions\degraded\degraded_pr.json
1_degraded,1_gemini 2.0 flash thinking experimental_degraded,0.04779037090601826,0.21464646464646464,0.7156899810964084,0.6426271,0.8006072044372559,0.8332493901252747,0.8166022300720215,0.4,0.25,0.4,0.35955056179775274,0.07909604519774012,0.18539325842696627,0.6473613162935538,experiment/prs\1\versions\degraded\degraded_pr.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\gemini 2.0 flash thinking experimental\versions\degraded\degraded_pr.json
1_degraded,1_grok 3 (thinking)_degraded,0.008785182444795162,0.18292682926829268,0.7120115774240231,0.7561282,0.8780297040939331,0.8511394262313843,0.8643755316734314,0.18181818181818182,0.0,0.18181818181818182,0.4124513618677043,0.09411764705882353,0.2723735408560311,0.5828838174991122,experiment/prs\1\versions\degraded\degraded_pr.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\grok 3 (thinking)\versions\degraded\degraded_pr.json
1_degraded,1_qwen2.5-max (thinking QwQ)_degraded,0.007145068634141342,0.13214285714285715,0.7554269175108539,0.78359663,0.8725056648254395,0.8308354020118713,0.8511608242988586,0.4615384615384615,0.1818181818181818,0.4615384615384615,0.35294117647058826,0.11891891891891894,0.25668449197860965,0.4019931481799506,experiment/prs\1\versions\degraded\degraded_pr.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\qwen2.5-max (thinking QwQ)\versions\degraded\degraded_pr.json
1_improved_degraded,1_claude 3.7 sonnet_improved_degraded,0.026214936640218022,0.18867924528301888,0.723240280870012,0.86710626,0.8095164895057678,0.8341987133026123,0.8216723203659058,0.5263157894736842,0.11764705882352941,0.5263157894736842,0.3990384615384615,0.1111111111111111,0.21153846153846154,0.7484885637851947,experiment/prs\1\versions\improved_degraded\improved_degraded.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\claude 3.7 sonnet\versions\improved_degraded\improved_degraded_pr.json
1_improved_degraded,1_deepseek deepthink r1_improved_degraded,0.003933094249467832,0.12050359712230216,0.7466039707419018,0.8110027,0.8229540586471558,0.8323453664779663,0.8276230692863464,0.6666666666666665,0.25,0.6666666666666665,0.35,0.043165467625899276,0.16428571428571428,0.5118347811710394,experiment/prs\1\versions\improved_degraded\improved_degraded.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\deepseek deepthink r1\versions\improved_degraded\improved_degraded_pr.json
1_improved_degraded,1_gemini 2.0 flash thinking experimental_improved_degraded,0.04380410459045203,0.19210977701543738,0.7247380571834487,0.84024704,0.8498175740242004,0.8424927592277527,0.8461393117904663,0.47619047619047616,0.0,0.380952380952381,0.4249512670565302,0.11741682974559686,0.21442495126705655,0.7530268789560106,experiment/prs\1\versions\improved_degraded\improved_degraded.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\gemini 2.0 flash thinking experimental\versions\improved_degraded\improved_degraded_pr.json
1_improved_degraded,1_grok 3 (thinking)_improved_degraded,0.022539330334294554,0.17391304347826086,0.7332000999250562,0.8825195,0.847572386264801,0.8437192440032959,0.8456414341926575,0.4000000000000001,0.1111111111111111,0.3,0.4371584699453552,0.054945054945054944,0.18032786885245902,0.743094114790964,experiment/prs\1\versions\improved_degraded\improved_degraded.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\grok 3 (thinking)\versions\improved_degraded\improved_degraded_pr.json
1_improved_degraded,1_qwen2.5-max (thinking QwQ)_improved_degraded,0.01263804379974827,0.11502347417840375,0.721709717097171,0.7951138,0.8290885090827942,0.8382638096809387,0.8336508870124817,0.5555555555555556,0.0,0.5555555555555556,0.29042904290429045,0.03322259136212624,0.15181518151815185,0.28816033961631005,experiment/prs\1\versions\improved_degraded\improved_degraded.json,experiment/prs\1\other_llms (REDO I_D BASED ON BASE DEGRADED)\qwen2.5-max (thinking QwQ)\versions\improved_degraded\improved_degraded_pr.json
